page path;publishDate;cq:lastModified;cq:styleIds;linkItems;listFrom;maxItems;maxOnPageItems;orderBy;pages;paginationType;parentPage;childDepth;rss;showDescription;showEyebrow;showImage;showModificationDate;sortOrder;tags;tagsMatch;tagsSearchRoot
/content/usta-foundation/en/home/news/mackenzie-mcdonald-celebrates-the-launch-of-the-usta-foundation-;;2026-05-06T15:10:02.727Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/frances-tiafoe-awards-njtl-alumnus-with-college-scholarship;;2026-05-06T15:12:51.373Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;tags;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;desc;usta:categories/about-usta/who-we-are/usta-foundation;any;/content/usta/en/home/stay-current/national
/content/usta-foundation/en/home/news/usta-foundation-chris-evert-honored-itf-commitment-award;;2026-05-06T15:08:43.835Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/usta-foundation-to-honor-andre-agassi-with-serving-up-dreams-awa;;2026-05-06T15:12:39.684Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;FALSE;desc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/njtl-student-athlete-ata-national-championships;;2026-05-06T15:07:07.919Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/espn-chris-mckendry-supports-usta-foundation;;2026-05-06T15:03:02.181Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/2026-usta-foundation-opening-night-gala-provides-young-people-wi;2026-09-01T00:00:00.000-04:00;2026-09-01T17:16:15.768Z;list-horizontal-layout, min-4-columns, max-4-columns;TRUE;tags;4;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;usta:categories/about-usta/usta-foundation;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/usta-foundation-rally-to-rebuild-campaign;;2026-05-06T15:09:06.243Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/chris-evert-honored-espys-usta-foundation-work;;2026-05-06T15:07:55.491Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/usta-foundation-announces-chris-evert-chair;;2026-05-06T15:07:19.060Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/clervie-ngounoue-wins-first-junior-grand-slam-australian-open;;2026-05-06T15:08:07.432Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/robin-montgomery-wimbledon-debut;;2026-05-06T15:05:50.657Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/usta-foundation-chairperson-chris-evert-announces-cancer-free;;2026-05-06T15:08:54.824Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/frances-tiafoe-presents-check-to-jtcc;;2026-05-06T15:04:10.745Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/usta-foundation-partners-with-chase-to-award-over--250-000-to-he;2026-07-08T00:00:00.000-04:00;2026-07-09T14:15:03.252Z;list-horizontal-layout, min-4-columns, max-4-columns;TRUE;tags;4;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;usta:categories/about-usta/usta-foundation;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/desert-smash-brings-together-hollywood-and-pro-tennis-to-benefit;;2026-05-06T15:14:53.469Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
